Player,Score
KELVIN,6600
AA,6400
,6100
,6100
,6100
,6000
LEO,5800
KELVIN,5600
KELVIN,5600
,5500
,5400
,5400
Kelvin,5400
KELVIN,5300
,5100
KELVIN,5100
A,4900
Kelvin,4600
33,4600
,4500
,4200
ZHUMI,4000
,3900
,3800
,3600
,3600
kk,3500
ZHUMI,3400
,3400
lll,3300
CHARLES,2700
LIZ,2300
,2100
,2100
ZZA,2100
JAMES,2100
ZZA,2000
,2000
FREYA,2000
,1900
,1900
,1800
JAMIE,1800
BRANDON,1800
JAMIE,1400
,1300
AAAA,1300
,1300
,1300
AAAA,1300
237984,1300
,1300
,1300
AA,1300
,1300
SS,1300
AA,1300
,1300
,1300
,1300
KELVIN,1300
KELVIN,1300
A,1200
ALI,1200
JAMES,1200
,1100
KELVIN,1100
,1100
,1100
KELVIN,1100
CHARLES,1000
444,1000
,1000
ALI,1000
55,900
44,900
44,900
LIZ,700
,700
CHARLES,400
kl,0
,0
,0
,0
kj,0
,0
,0
,0
kjkl,0
,0
,0
,0
njkn,0
,0
